Ticker,Sector
NUVB,Healthcare
NVAX,Healthcare
NVDA,Technology
NVRI,Industrials
NVTS,Technology
NXPI,Technology
NXT,Industrials
ODD,Unknown
OGN,Healthcare
OKLO,Utilities
OLED,Technology
OLMA,Healthcare
OMER,Healthcare
ON,Technology
ONDS,Unknown
ONON,Unknown
ONTO,Unknown
OPEN,Real Estate
OPFI,Financials
ORC,Real Estate
ORCL,Technology
OSCR,Healthcare
OSPN,Unknown
OUST,Technology
PACB,Healthcare
PACK,Unknown
PATH,Technology
PBI,Unknown
PCT,Industrials
PDFS,Technology
PDYN,Technology
PENG,Unknown
PGY,Technology
PI,Technology
PINS,Communication Services
PL,Industrials
PLAY,Consumer Discretionary
PLTR,Technology
PLUG,Industrials
PONY,Technology
POWI,Technology
PRCH,Unknown
PRG,Industrials
PRM,Materials
PRME,Healthcare
PSIX,Industrials
PSNL,Healthcare
PTGX,Healthcare
PTLO,Consumer Discretionary
PTON,Consumer Discretionary
PUBM,Technology
PVH,Consumer Discretionary
PWP,Financials
QBTS,Technology
QCOM,Technology
QS,Unknown
QUBT,Technology
QXO,Industrials
RBLX,Communication Services
RCL,Consumer Discretionary
RDDT,Communication Services
RDW,Industrials
REAL,Consumer Discretionary
REKR,Technology
REZI,Industrials
RGTI,Technology
RH,Consumer Discretionary
RIOT,Financials
RIVN,Consumer Discretionary
RKLB,Industrials
RKT,Financials
RLAY,Healthcare
RMAX,Real Estate
RMBS,Technology
ROK,Industrials
ROKU,Communication Services
RPAY,Financials
RSI,Unknown
RUN,Industrials
RVLV,Consumer Discretionary
RXO,Unknown
RXRX,Healthcare
RXT,Technology
RYAM,Materials
RYTM,Healthcare
SAIL,Technology
SANA,Healthcare
SANM,Technology
SBET,Unknown
SCZM,Materials
SDGR,Healthcare
SDRL,Energy
SE,Unknown
SERV,Industrials
SEZL,Financials
SFIX,Unknown
SG,Consumer Discretionary
SGMT,Healthcare
SGRY,Healthcare
SHAK,Consumer Discretionary
SHC,Healthcare
SHLS,Industrials
SHOP,Technology
SIMO,Technology
SITM,Technology
SKYT,Technology
SLDB,Healthcare
SLDP,Unknown
SLG,Real Estate
SLI,Materials
SLS,Healthcare
SMCI,Technology
SMG,Unknown
SMR,Utilities
SMTC,Unknown
SNAP,Communication Services
SNDK,Unknown
SNOW,Technology
SOFI,Financials
SONO,Unknown
SOUN,Technology
SPCE,Industrials
SPHR,Communication Services
SPIR,Industrials
SPOT,Communication Services
SRAD,Unknown
SRTA,Unknown
SSYS,Unknown
STLD,Materials
STM,Technology
STNE,Unknown
STRL,Industrials
STX,Technology
SUPV,Unknown
SWIM,Unknown
SWKS,Technology
SYM,Unknown
SYNA,Technology
SYRE,Healthcare
TASK,Unknown
TBLA,Communication Services
TDOC,Healthcare
TDUP,Unknown
TE,Industrials
TEM,Healthcare
TER,Technology
TEX,Industrials
TGTX,Healthcare
TILE,Consumer Discretionary
TLN,Utilities
TMC,Materials
TMDX,Healthcare
TNDM,Healthcare
TOST,Technology
TPC,Industrials
TREX,Industrials
TROW,Financials
TRU,Unknown
TSLA,Consumer Discretionary
TSSI,Technology
TTGT,Technology
TTMI,Technology
TWST,Healthcare
TXG,Healthcare
U,Technology
UA,Consumer Discretionary
UAA,Consumer Discretionary
UCTT,Technology
UIS,Unknown
ULCC,Industrials
UMAC,Industrials
UPBD,Unknown
UPST,Financials
URGN,Healthcare
URI,Industrials
USAR,Materials
UWMC,Financials
VCYT,Healthcare
VELO,Unknown
VFC,Consumer Discretionary
VICR,Technology
VIDA,Healthcare
VIK,Consumer Discretionary
VIR,Healthcare
VISN,Unknown
VLRS,Industrials
VNO,Real Estate
VOR,Healthcare
VRT,Industrials
VSAT,Communication Services
VSCO,Consumer Discretionary
VSH,Technology
VUZI,Technology
W,Consumer Discretionary
WBD,Communication Services
WCC,Industrials
WDC,Technology
WEAV,Technology
WGS,Healthcare
WING,Consumer Discretionary
WNC,Industrials
WOLF,Technology
WOOF,Consumer Discretionary
WRAP,Industrials
WRBY,Consumer Discretionary
WRD,Unknown
WSM,Consumer Discretionary
WULF,Technology
WWW,Unknown
XNDU,Unknown
XPO,Industrials
XRX,Technology
XYZ,Financials
YETI,Consumer Discretionary
Z,Communication Services
ZBRA,Technology
ZG,Communication Services
ZS,Technology
